school.instructional_expenditure_per_fte,X2013.student.demographics.race_ethnicity.black,school.tuition_revenue_per_fte,id,X2013.student.share_firstgeneration,school.minority_serving.annh,X2013.cost.tuition.program_year,X2013.cost.attendance.program_year,X2013.aid.pell_grant_rate,school.minority_serving.historically_black,school.minority_serving.nant,X2013.student.demographics.race_ethnicity.two_or_more,X2013.student.demographics.race_ethnicity.white,X2013.student.size,X2013.student.demographics.race_ethnicity.hispanic,X2013.student.demographics.race_ethnicity.non_resident_alien,X2013.student.demographics.race_ethnicity.unknown,school.minority_serving.predominantly_black,school.under_investigation,school.minority_serving.hispanic,school.minority_serving.aanipi,X2013.student.demographics.race_ethnicity.aian,school.minority_serving.tribal,X2013.student.demographics.race_ethnicity.asian,school.name,X2013.student.demographics.race_ethnicity.nhpi,X2013.admissions.admission_rate.overall,X2013.admissions.sat_scores.average.overall,X2013.student.enrollment.all,X2013.student.demographics.race_ethnicity.white_non_hispanic,X2013.student.demographics.race_ethnicity.black_non_hispanic,X2013.student.demographics.race_ethnicity.asian_pacific_islander,X2013.cost.attendance.academic_year,X2013.cost.tuition.in_state,X2013.cost.tuition.out_of_state,year
6500,0.5882,6400,455035,NA,0,6500,NA,0,0,0,0,0.4118,17,0,0,0,0,0,0,0,0,0,0,Focus-Hope Information Technologies Center,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
2494,0.766,4023,455053,0.52238806,0,13015,20148,0.6589,0,0,0,0.1064,47,0.1064,0,0,0,0,0,0,0,0,0.0213,International Cosmetology Academy,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1418,0.0548,5534,455062,0.523809524,0,8638,24357,0.3679,0,0,0.0685,0.8356,73,0.0274,0,0,0,0,0,0,0.0137,0,0,French Academy of Cosmetology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1677,0.1103,5307,456515,0.523950617,0,15680,22963,0.5309,0,0,0,0.8088,136,0.0588,0,0,0,0,0,0,0.0074,0,0.0147,Ross Medical Education Center-Portage,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
6752,0.1863,11422,456746,0.505111621,0,17300,22956,0.6946,0,0,0.0392,0.3039,102,0,0,0.4706,0,0,0,0,0,0,0,Regency Beauty Institute-Detroit Lakeside,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3267,0.7075,8945,456117,0.504847129,0,NA,NA,0.8392,0,0,0.0189,0.1981,106,0.066,0,0,0,0,0,0,0,0,0,Stautzenberger Institute-Allen Park,0.0094,NA,NA,NA,NA,NA,NA,21189,10170,10170,2013
NA,NA,NA,16947919,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Battle Creek Location,NA,NA,NA,NA,NA,NA,NA,NA,13966,NA,2013
4008,0.3122,10626,449977,0.458975941,0,15550,18308,0.3939,0,0,0.0169,0.5738,237,0.0042,0,0.0928,0,0,0,0,0,0,0,Paul Mitchell the School-Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1924,0.5078,9952,451282,0.535,0,16500,17499,0.5313,0,0,0.0104,0.4197,193,0.0155,0,0.0207,0,0,0,0,0,0,0.0207,Gallery College of Beauty,0.0052,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1977,0,5371,451291,0,0,NA,NA,0.8182,0,0,0,0.9091,22,0.0909,0,0,0,0,0,0,0,0,0,Lakewood School of Therapeutic Massage,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3752,0.3085,12908,451796,0.414796712,0,NA,NA,0.6575,0,0,0.0332,0.4131,995,0.0583,0,0.1618,0,0,0,0,0.008,0,0.0171,The Art Institute of Michigan,0,NA,NA,NA,NA,NA,NA,30508,17488,17488,2013
3293,0.0984,6912,451307,0,0,15300,16297,0.4167,0,0,0.0164,0.7705,61,0.0328,0,0.0164,0,0,0,0,0.0164,0,0.0492,The Salon Spa Academy,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1852,0.0517,5428,452072,0.561588331,0,15680,21225,0.4279,0,0,0.0086,0.8448,116,0.0517,0,0.0259,0,0,0,0,0.0172,0,0,Ross Medical Education Center-New Baltimore,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
6105,0.1902,10328,454360,0.505111621,0,17300,23759,0.8276,0,0,0.0982,0.227,163,0.0798,0,0.3926,0,0,0,0,0,0,0.0061,Regency Beauty Institute-Detroit Southgate,0.0061,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
8853,0.2538,14975,454379,0.505111621,0,17300,23522,0.819,0,0,0.0846,0.1923,130,0,0,0.4462,0,0,0,0,0,0,0.0154,Regency Beauty Institute-Flint,0.0077,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
6105,0.1954,10328,454388,0.505111621,0,17300,23517,0.7793,0,0,0.1609,0.3448,87,0.0115,0,0.2874,0,0,0,0,0,0,0,Regency Beauty Institute-Grand Rapids,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
4387,0.152,11556,454306,0.568364611,0,NA,NA,0.8467,0,0,0.0091,0.7994,329,0.0213,0,0.0122,0,0,0,0,0.0061,0,0,Career Quest Learning Centers-Jackson,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
NA,NA,NA,16947910,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Flint Location,NA,NA,NA,NA,NA,NA,NA,NA,13198,NA,2013
NA,NA,NA,16947912,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Traverse City Location,NA,NA,NA,NA,NA,NA,NA,NA,13198,NA,2013
4593,0.0909,5563,448804,0.531400966,0,NA,NA,0.4714,0,0,0.0109,0.5709,275,0.0109,0,0.3091,0,0,0,0,0,0,0.0073,The Robert B Miller College,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
5085,0.9375,10058,247162,0,0,NA,NA,0,0,0,0,0,16,0,0,0.0625,0,0,0,0,0,0,0,Ecumenical Theological Seminary,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3763,0.2488,24461,448479,0.506675155,0,NA,NA,0.7735,0,0,0.0149,0.6766,402,0.0299,0,0.0249,0,0,0,0,0.005,0,0,ITT Technical Institute-Swartz Creek,0,0.9831,NA,NA,NA,NA,NA,26994,18048,18048,2013
NA,NA,NA,16947915,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Saginaw Location,NA,NA,NA,NA,NA,NA,NA,NA,13198,NA,2013
NA,NA,NA,16947918,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Livonia Location,NA,NA,NA,NA,NA,NA,NA,NA,13966,NA,2013
2457,0.5,5724,447980,0.46969697,0,9445,11355,0.7403,0,0,0,0.4318,44,0.0227,0,0,0,0,0,0,0,0,0,Nuvo College of Cosmetology,0.0455,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
5959,0.025,12006,410256,0,0,9400,27792,0.4404,0,0,0,0.95,80,0.0125,0,0,0,0,0,0,0,0,0.0125,Ann Arbor Institute of Massage Therapy,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3460,0.069,8646,446288,0.50390625,0,11725,17192,0.4559,0,0,0,0.8851,87,0.0115,0,0,0,0,0,0,0,0,0,Paul Mitchell the School-Great Lakes,0.0345,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
5048,0.1825,13363,446136,0.568364611,0,NA,NA,0.6199,0,0,0.0237,0.6896,422,0.0687,0,0.0047,0,0,0,0,0.0071,0,0.0213,Career Quest Learning Centers-Lansing,0.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
NA,NA,NA,16947905,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Lansing Location,NA,NA,NA,NA,NA,NA,NA,NA,13956,NA,2013
NA,NA,NA,16947903,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Warren Location,NA,NA,NA,NA,NA,NA,NA,NA,13966,NA,2013
NA,NA,NA,16947904,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Kalamazoo Location,NA,NA,NA,NA,NA,NA,NA,NA,13966,NA,2013
NA,NA,NA,16932701,0.506666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Cleary University,NA,NA,NA,NA,NA,NA,NA,NA,18720,NA,2013
NA,NA,NA,16947907,0.444694132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,Davenport University-Midland Location,NA,NA,NA,NA,NA,NA,NA,NA,13198,NA,2013
